TKR181200217	PLANET-seq_1
SRR6078527	Arabidopsis_thaliana_Col-0,_2_week_dark-adapted,_7-day_split,_cell_culture,_H3K9me2_ChIP_Input_reference
SRR5224474	WT_H3K27ac_rep1
SRR6078529	Arabidopsis_thaliana_Col-0,_7-day_split,_2_week_dark-adapted_culture,_ChIP-seq_H3K9me2
SRR6078528	Arabidopsis_thaliana_Col-0,_7-day_split,_2_week_dark-adapted_culture,_ChIP-seq_H3K9me2
SRR3610898	ChIP_water_3h_rep2
SRR3610899	ChIP_GSNO_3h_rep1
SRR3610894	ChIP_water_3h_rep1
SRR3610895	ChIP_water_3h_rep2
SRR3610896	ChIP_water_3h_rep2
SRR3610897	ChIP_water_3h_rep2
SRR3610891	ChIP_water_3h_rep1
SRR3610892	ChIP_water_3h_rep1
SRR3610893	ChIP_water_3h_rep1
SRR3610948	ChIP_GSNO_16h_rep2
SRR3610947	ChIP_GSNO_16h_rep2
SRR3610944	ChIP_GSNO_16h_rep1
SRR3610945	ChIP_GSNO_16h_rep1
SRR3610942	ChIP_GSNO_16h_rep1
SRR3610941	ChIP_GSNO_16h_rep1
SRR3096643	H3K9me2_Col
SRR1635844	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR1635845	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR1635846	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR1635847	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR1635840	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR3610939	ChIP_water_16h_rep2
SRR1635842	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR1635843	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR5024376	FLC_ChIP-Seq_WT_rep2
SRR5024377	FLC_ChIP-Seq_control_rep2
SRR5024374	FLC_ChIP-Seq_WT_rep1
SRR5024375	FLC_ChIP-Seq_control_rep1
SRR2001305	rosettes_dm_watered_H3T3ph_rep2
SRR2001304	rosettes_dm_watered_H3T3ph_rep1
SRR2001307	rosettes_dm_peg_H3T3ph_rep2
SRR2001306	rosettes_dm_peg_H3T3ph_rep1
DRR072839	ibm1-4
DRR072838	ibm1-4
DRR072835	WT_Col-0
DRR072834	WT_Col-0
DRR072837	ibm1-4
DRR072836	ibm1-4
DRR072831	WT_Col-0
DRR072830	ibm1-4_ldl2-11
DRR072833	WT_Col-0
DRR072832	WT_Col-0
SRR5313735	ChIPseq_AGO1_WT_BTHcontrol_ChIP_rep2
SRR2979536	COL-0_for_ethylene_treatment
SRR5313734	ChIPseq_AGO1_WT_BTHcontrol_ChIP_rep1
ERR1878083	pETT::ETT-GFP_in_ett-3_+IAA_rep1
ERR1878082	pETT::ETT-GFP_in_ett-3_rep3;_ett-3_+--_IAA_ChIP-Seq_and_control
ERR1878081	pETT::ETT-GFP_in_ett-3_rep2
ERR1878080	pETT::ETT-GFP_in_ett-3_rep1;_ett-3_+--_IAA_ChIP-Seq_and_control
ERR1878086	Control
ERR1878085	pETT::ETT-GFP_in_ett-3_+IAA_rep3;_ett-3_+--_IAA_ChIP-Seq_and_control
ERR1878084	pETT::ETT-GFP_in_ett-3_+IAA_rep2
SRR1618898	H3K27me3_ChIP-seq_WT_Col-C24_Rep1
SRR5313736	ChIPseq_AGO1_WT_BTHcontrol_input_rep1
SRR646240	Col-0_3-day_etiolated_seedlings,_12_hour_ethylene_treatment
SRR2932274	H3K36me3_ws_gcn5_Rep1
SRR646242	Col-0_3-day_etiolated_seedlings,_24_hour_ethylene_treatment
SRR646243	Col-0_3-day_etiolated_seedlings,_24_hour_ethylene_treatment
SRR1618896	H3K27me3_ChIP-seq_WT_Col_Rep1
SRR1618897	H3K27me3_ChIP-seq_WT_C24_Rep1
SRR646246	Col-0_3-day_etiolated_seedlings,_12_hour_ethylene_treatment
SRR5313730	ChIPseq_AGO1_ago1-36_ChIP_rep1
SRR5313733	ChIPseq_AGO1_ago1-36_input_rep2
SRR5313732	ChIPseq_AGO1_ago1-36_input_rep1
SRR5681380	at-endosperm-h3k9m2_replicate1_col_wt_x_col_adm
SRR5681381	at-endosperm-input_replicate1_col_wt_x_col_osd
SRR5681382	at-endosperm-h3_replicate1_col_wt_x_col_osd
SRR5681383	at-endosperm-h3k9m2_replicate1_col_wt_x_col_osd
SRR5681384	at-endosperm-input_replicate1_col_wt_x_col_admosd
SRR5681385	at-endosperm-h3_replicate1_col_wt_x_col_admosd
SRR5681386	at-endosperm-h3k9m2_replicate1_col_wt_x_col_admosd
SRR5681387	at-endosperm-h3k9m2_replicate2_col_wt_x_col_osd
SRR5681388	at-endosperm-h3_replicate2_col_wt_x_col_osd
SRR5681389	at-endosperm-input_replicate2_col_wt_x_col_osd
SRR2177431	morc1-2_Pst
SRR3938569	
SRR3938568	
SRR3938567	
SRR3938565	
SRR3938564	
SRR3938563	
SRR3938562	
SRR3938561	
SRR3938560	
SRR3418085	AT1G22640_MYB3_EtOH_ChIP_rep2
SRR3418084	AT1G22640_MYB3_ABA_ChIP_rep2
SRR3418087	AT1G22640_MYB3_EtOH_ChIP_rep3
SRR3418086	AT1G22640_MYB3_ABA_ChIP_rep3
SRR3418081	AT1G51140_FBH3_EtOH_ChIP_rep3
SRR3418080	AT1G51140_FBH3_ABA_ChIP_rep3
SRR3418083	AT1G22640_MYB3_EtOH_ChIP_rep1
SRR3418082	AT1G22640_MYB3_ABA_ChIP_rep1
SRR3418089	AT5G05410_DREB2A_EtOH_ChIP_rep1
SRR3418088	AT5G05410_DREB2A_ABA_ChIP_rep1
SRR5478874	ELF3-MYC_ChIP-seq_at_22C_collected_at_ZT10
SRR5478875	ELF3-MYC_ChIP-seq_in_lux-4_at_22C_collected_at_ZT10
SRR5478876	ELF3-FLAG_ChIP-seq_temperature_shifts_at_32C_collected_at_ZT10
SRR5478877	ELF3-FLAG_ChIP-seq_temperature_shifts_at_27C_collected_at_ZT10
ERR1590150	E-MTAB-5048:Sample_6
SRR3418152	Col0_mockChIP_rep1
SRR5478872	ELF3-MYC_ChIP-seq_at_27C_collected_at_ZT10
ERR1590153	Sample_9
SRR5478878	ELF3-FLAG_ChIP-seq_temperature_shifts_at_20C_collected_at_ZT10
SRR5478879	ELF3-FLAG_ChIP-seq_temperature_shifts_at_17C_collected_at_ZT10
SRR988541	WT_inputDNA
SRR988542	WT_H3_ChIP
SRR988543	WT_H2A_ChIP
SRR988544	WT_H2AW_ChIP
SRR988545	WT_H2AX_ChIP
SRR988546	WT_H2AZ_ChIP
SRR038851	AP1-GR_uninduced_control_2
SRR4163870	GFP_H3K4me3_2
SRR5190513	ein2_H3K9Ac_air_ChIPseq_rep1
SRR116765	flc-3_(Col_FRI)
SRR3234448	HTA11_ChIP-seq_37c_4hr_37Exp
SRR1999298	suvh456_H3K9me2_ChIP_rep
SRR3611053	input_TSA_16h_rep1
SRR3234443	HTA11_ChIP-seq_17c_15min_37Exp
SRR3234445	HTA11_ChIP-seq_17c_4hr_37Exp
SRR3234444	HTA11_ChIP-seq_17c_1hr_37Exp
SRR3234447	HTA11_ChIP-seq_37c_1hr_37Exp
SRR5190517	ein2_air_IgG_control
SRR5190514	ein2_H3K9Ac_air_ChIPseq_rep2
SRR3611050	input_GSNO_cPTIO_16h_rep2
SRR1999299	suvh456_H3K23ac_ChIP_rep
SRR1302277	FHY1-input
SRR1302274	FHY1-GFP_1_ChIP-seq
SRR1302275	FHY1-GFP_2_ChIP-seq
SRR5478896	LUX-GFP_ChIP-seq_at_17C_collected_at_ZT8
SRR5478897	ELF4-HA_ChIP-seq_at_22C_collected_at_ZT10
SRR3418133	AT5G04760_EtOH_ChIP_rep3
SRR3418132	AT5G04760_ABA_ChIP_rep3
SRR3418135	AT2G46680_HB7_EtOH_ChIP_rep1
SRR5478893	LUX-GFP_ChIP-seq_at_27C_collected_at_ZT9
SRR1005403	WT_H3_ChIP
SRR1005405	WT_H3K23ac_ChIP
SRR5478890	LUX-GFP_ChIP-seq_rep1_at_22C_collected_at_ZT8
SRR1005407	drm12cmt23_H3K9me2_ChIP
SRR1005406	drm12cmt23_H3_ChIP
SRR1005409	suvh456_H3_ChIP
SRR1005408	drm12cmt23_H3K23ac_ChIP
SRR3418136	AT2G46680_HB7_ABA_ChIP_rep2
SRR2467257	DCL1_IP_pull_down_RNA-seq_of_Columbia
SRR4734665	clfswn_H2AK121ub_7DAG_rep2
SRR4734664	Col-0_H2AK121ub_7DAG_rep3
SRR4734667	lhp1_H2AK121ub_7DAG_rep1
SRR4734666	Col-0_H2AK121ub_7DAG_rep4
SRR4734661	atbmi1abc_H3K27me3_7DAG_rep2
SRR4734660	Col-0_H3K27me3_7DAG_rep1
SRR4734663	clfswn_H2AK121ub_7DAG_rep1
SRR4734662	Col-0_H3K27me3_7DAG_rep2
SRR4734669	lhp1_H2AK121ub_7DAG_rep2
SRR4734668	Col-0_H2AK121ub_7DAG_rep5
SRR5364419	WT_H3_#1
SRR520252	P3M-ChIP-2
SRR3286800	acc1-5_input
SRR3286801	WT_input
SRR520253	P3M-ChIP-3
SRR520250	P3M-ChIP-1
SRR5313780	ChIPseq_PolII_ago1-36_input_rep1
SRR5313781	ChIPseq_PolII_ago1-36_input_rep2
SRR533969	E2F.HB_E2Fa
SRR921323	General_Sample_for_Arabidopsis_thaliana
SRR5313782	ChIPseq_PolIISer2P_ago1-36_ChIP
SRR2932292	H3K36ac_Col_wt_Rep1
SRR2932293	H3K36ac_Col_wt_Rep2
SRR2932290	H3_Col_wt_Rep1
SRR5313783	ChIPseq_PolIISer2P_ago1-36_input
SRR3610959	ChIP_GSH_16h_rep2
SRR2932297	H3K36ac_1
SRR2932294	Input_1
SRR2932295	Input_2
SRR3610954	ChIP_GSH_16h_rep1
SRR3610957	ChIP_GSH_16h_rep1
SRR3610956	ChIP_GSH_16h_rep1
SRR3610951	ChIP_GSNO_16h_rep2
SRR3610950	ChIP_GSNO_16h_rep2
SRR3610953	ChIP_GSH_16h_rep1
SRR4034126	Hybrid_vigour_(heterosis)_has_been_used_for_decades_in_crop_industries,_especially_in_the_production_of_maize_and_rice._Hybrid_varieties_usually_exceed_their_parents_in_plant_biomass_and_seed_yield._But_the_molecular_basis_of_hybrid_vigour_is_not_fully_understood._Previous_studies_have_suggested_that_epigenetic_systems_could_play_a_role_in_heterosis._In_this_project,_we_investigated_genome-wide_patterns_of_four_histone_marks_in_Arabidopsis_hybrids_at_a_germination_stage_of_seeds.
SRR3938653	
SRR3938652	
SRR3286794	acc1-5_H3K14ac_rep2
SRR3286795	acc1-5_H3K18ac_rep2
SRR3286796	acc1-5_H4K5ac_rep2
SRR3286797	acc1-5_H4K8ac_rep2
SRR3286790	WT_H4K8ac_rep2
SRR3286791	WT_H4K12ac_rep2
SRR3286792	WT_H4K16ac_rep2
SRR3286793	acc1-5_H3K9ac_rep2
SRR3938608	
SRR3286798	acc1-5_H4K12ac_rep2
SRR3286799	acc1-5_H4K16ac_rep2
SRR3234474	HSFA1A_ChIP-seq_27c_15min
SRR3234475	HSFA1A_ChIP-seq_37c_15min
SRR3234476	HSFA1A_ChIP-seq_INPUT
SRR1818399	WK33-HA_mock_14h_rep1
SRR3234477	PolII_ChIP_seq_17c_15min
SRR5681428	at-endosperm-input_replicate2_col_wt_x_ler_osd
DRR072828	ibm1-4_ldl2-11
DRR072829	ibm1-4_ldl2-11
DRR072826	ibm1-4_ldl2-11
DRR072827	ibm1-4_ldl2-11
SRR5681427	at-endosperm-input_replicate1_col_wt_x_ler_osd
SRR5681426	at-endosperm-h3_replicate2_col_wt_x_ler_osd
SRR5681421	at-endosperm-h3_replicate2_col_wt_x_col_2n-suvh2-9
SRR5681420	at-endosperm-h3k9m2_replicate2_col_wt_x_col_2n-suvh2-9
SRR5681423	at-endosperm-h3k9m2_replicate1_col_wt_x_ler_osd
SRR5681422	at-endosperm-input_replicate2_col_wt_x_col_2n-suvh2-9
SRR1015053	JAG_wild-type_replicate_2
SRR2979522	COL-0_for_ethylene_treatment
SRR3234472	H2B_ChIP-seq_27c_4hr
SRR2979528	COL-0_for_air_treatment
SRR3234473	HSFA1A_ChIP-seq_17c_15min
SRR646239	Col-0_3-day_etiolated_seedlings,_12_hour_ethylene_treatment
SRR822350	GSM1116508:_gSOC1-GFP_replicate_2
SRR3938651	
SRR646235	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR646234	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR646237	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR646236	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR646231	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR646230	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR2243595	REF6GFPInput
SRR646232	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR5681397	at-endosperm-h3_replicate1_col_wt_x_col_4n-suvh2-9
SRR5681396	at-endosperm-h3k9m2_replicate1_col_wt_x_col_4n-suvh2-9
SRR5681395	at-endosperm-input_replicate2_col_wt_x_col_admosd
SRR5681394	at-endosperm-h3_replicate2_col_wt_x_col_admosd
SRR5681393	at-endosperm-h3k9m2_replicate2_col_wt_x_col_admosd
SRR5681392	at-endosperm-input_replicate2_col_wt_x_col_adm
SRR5681391	at-endosperm-h3_replicate2_col_wt_x_col_adm
SRR5681390	at-endosperm-h3k9m2_replicate2_col_wt_x_col_adm
SRR5681399	at-endosperm-h3k9m2_replicate1_col_wt_x_col_2n-suvh2-9
SRR5681398	at-endosperm-input_replicate1_col_wt_x_col_4n-suvh2-9
ERR860837	APO_input
ERR860836	CONTROL_H3ac
ERR860835	CONTROL_H3ac
ERR860834	TSA_H3ac
ERR860833	TSA_H3ac
ERR860832	APO_H3ac
ERR860831	APO_H3ac
ERR860839	TSA_input
ERR860838	APO_input
SRR5681379	at-endosperm-h3_replicate1_col_wt_x_col_adm
SRR5681378	at-endosperm-input_replicate1_col_wt_x_col_adm
SRR3130010	
SRR5681375	at-endosperm-input_replicate1_col_wt_x_col_wt
SRR5681377	at-endosperm-h3k9m2_replicate1_col_wt_x_col_wt
SRR5681376	at-endosperm-h3_replicate1_col_wt_x_col_wt
SRR446501	H3_non-dividing_rep2
SRR446500	H3_non-dividing_rep1
ERR1590149	E-MTAB-5048:Sample_5
ERR1590148	E-MTAB-5048:Sample_4
ERR1590147	E-MTAB-5048:Sample_3
ERR1590146	E-MTAB-5048:Sample_2
ERR1590145	E-MTAB-5048:Sample_1
SRR1848396	at-endosperm-H3K27m1_2_replicate_1_ler_x_col
SRR1848397	at-endosperm-H3K27m1_2_replicate_2_col_x_ler
SRR866863	H3K27me3_ChIPSeq_in_brm_rep1
SRR1848394	at-endosperm-H3K27m1_2_replicate_1_col_x_ler
SRR908239	DP97-4__(iFLMdelta_control)
SRR1848395	at-leaf-H3K27m1_2_replicate_1
SRR1848392	at-endosperm-H3_2_replicate_2_col_x_ler
SRR1848393	at-endosperm-H3K27m1_1_replicate_2_ler_x_col
SRR1848390	at-leaf-H3_2_replicate_1
SRR1848391	at-endosperm-H3_2_replicate_1_ler_x_col
SRR3610972	CHIP_GSNO_cPTIO_16h_rep2
SRR2962410	lhp1_6_H3K27me3_ChIPseq
ERR970501	IgG_PE75_(SWD,_EOD,_BR2)
SRR942021	nrpd1_H3K4m3_ChIP_(replicate_2)
SRR942020	nrpe1_H3K4m3_ChIP_(replicate_2)
SRR935588	FIE-HA_input_in__Arabidopsis_thaliana
SRR935589	H3K27me3_input_in_Arabidopsis_thaliana
SRR5222738	MBD_rep2
SRR5222739	cmt2_H9_rep1
SRR5222737	MBD_rep1
SRR4163861	WT_H3K27me3_1
SRR4163860	GFP_INPUT_1
SRR4163863	GFP_H3K27me3_1
SRR4163862	WT_H3K4me3_1
SRR4163865	WT_INPUT_2
SRR4163864	GFP_H3K4me3_1
SRR4163867	WT_H3K27me3_2
SRR4163866	GFP_INPUT_2
SRR4163869	GFP_H3K27me3_2
SRR4163868	WT_H3K4me3_2
SRR3134778	ein2_H3K14Ac_air_ChIPseq_rep2
SRR3134779	ein2_H3K23Ac_air_ChIPseq_rep1
SRR3234478	PolII_ChIP_seq_27c_15min
ERR970508	K27ac_PE74_(SWD,_EON,_BR2);_Arabidopsis_Leaf_6
SRR3134772	COL_H3K9Ac_ethylene_ChIPseq_rep2
SRR3134773	COL_H3K14Ac_ethylene_ChIPseq
SRR3134770	COL_air_IgG_control
SRR3134771	COL_H3K9Ac_ethylene_ChIPseq_rep1
SRR3134776	COL_ethylene_IgG_control
SRR3134777	ein2_H3K14Ac_air_ChIPseq_rep1
SRR3134774	COL_H3K23Ac_ethylene_ChIPseq_rep1
SRR3134775	COL_H3K23Ac_ethylene_ChIPseq_rep2
SRR3611022	input_water_16h_rep1
SRR3611023	input_water_16h_rep1
SRR3611020	input_TSA_3h_rep2
SRR3611021	input_water_16h_rep1
SRR3611026	input_water_16h_rep2
SRR3611027	input_water_16h_rep2
SRR3611024	input_water_16h_rep1
SRR3611025	input_water_16h_rep2
SRR3611028	input_water_16h_rep2
SRR3611029	input_GSNO_16h_rep1
SRR1848398	at-endosperm-H3K27m3_1_replicate_1_col_x_ler
SRR1848399	at-leaf-H3K27m3_1_replicate_1
ERR973035	E-MTAB-3754:mock_control
ERR973033	E-MTAB-3754:bZIP29
ERR104654	E-MTAB-1043:Col_x_Ler
SRR851702	mock_ChIP_control_2d
SRR1015049	JAG-GFP_replicate_1
SRR943791	prr7-3_IP_(ExpII)
SRR4734658	Col-0_H2AK121ub_7DAG_rep2
SRR4734659	atbmi1abc_H3K27me3_7DAG_rep1
SRR4734655	atbmi1abc_H2AK121ub_7DAG_rep1
SRR4734656	Col-0_H2AK121ub_7DAG_rep1
SRR4734657	atbmi1abc_H2AK121ub_7DAG_rep2
SRR851700	AP1_ChIP-seq_8d_biological_reps_1_and_2
SRR1801532	HAT3-1_ChIPSeq
SRR1801534	Col-WT-1_Coverage
SRR446499	H3.1_non-dividing_rep2
SRR1027034	LHY_ChIPSeq
SRR1027035	lhy21_ChIPSeq
SRR1818410	WK33-HA_Bc_14h_input_rep2
SRR1818411	WT_mock_14h_rep2
SRR1818412	WT_Bc_14h_rep2
SRR6412399	FUL_IM,_rep1
SRR3610960	ChIP_GSH_16h_rep2
SRR2932280	H3K36me3_ws_wt_Rep1
SRR3610962	ChIP_GSH_16h_rep2
SRR2932282	input_Col_sdg8_Rep1
SRR3610964	ChIP_GSH_16h_rep2
SRR3610965	CHIP_GSNO_cPTIO_16h_rep1
SRR3610966	CHIP_GSNO_cPTIO_16h_rep1
SRR3610967	CHIP_GSNO_cPTIO_16h_rep1
SRR3610968	CHIP_GSNO_cPTIO_16h_rep1
SRR3610969	CHIP_GSNO_cPTIO_16h_rep2
SRR1848413	at-endosperm-Input_1_replicate_2_col_x_ler
SRR1848412	at-endosperm-Input_1_replicate_1_ler_x_col
SRR052645	Arabidopsis_H3_ChIP-Seq
SRR1848415	at-endosperm-Input_1_replicate_2_ler_x_col
SRR1848414	at-leaf-Input_1_replicate_2
SRR5149631	H3.1A31T
SRR3610988	input_water_3h_rep2
SRR3610989	input_GSNO_3h_rep1
SRR5440758	AtGNC_IP_Rep2
SRR5440759	AtGNC_IP_Rep2
SRR5440756	AtGNC_IP_Rep1
SRR3610983	input_water_3h_rep1
SRR3610980	ChIP_TSA_16h_rep2
SRR3610981	input_water_3h_rep1
SRR3610986	input_water_3h_rep2
SRR4430543	LoCENH3_rep1
SRR3610984	input_water_3h_rep1
SRR3610985	input_water_3h_rep2
SRR5149632	H3.3T31A
SRR5149635	H3.3Y41F
SRR5149634	H3.1F41Y-2
SRR5681410	at-endosperm-input_replicate2_col_wt_x_col_wt
SRR5681411	at-endosperm-h3k9m2_replicate2_col_wt_x_col_2n-ahl10
SRR5681412	at-endosperm-h3_replicate2_col_wt_x_col_2n-ahl10
SRR5681413	at-endosperm-input_replicate2_col_wt_x_col_2n-ahl10
DRR072817	H3K4me1_WT_Col-0
DRR072816	WT_Col-0
SRR5681416	at-endosperm-input_replicate2_col_wt_x_col_4n-ahl10
SRR5681417	at-endosperm-h3k9m2_replicate2_col_wt_x_col_4n-suvh2-9
SRR5681418	at-endosperm-h3_replicate2_col_wt_x_col_4n-suvh2-9
SRR5681419	at-endosperm-input_replicate2_col_wt_x_col_4n-suvh2-9
DRR072819	WT_Col-0
DRR072818	WT_Col-0
SRR931764	PhyA-GFP_1_[ChIP-seq]
SRR931765	PhyA-GFP_2_[ChIP-seq]
SRR931766	PhyA-GFP_3_[ChIP-seq]
SRR931767	PhyA-input__[ChIP-seq]
SRR4430549	ZmCENH3_rep1
SRR3418149	AT4G34000_ABF3_EtOH_ChIP_rep2
SRR2979518	COL-0_for_ethylene_treatment
SRR2131059	prr9-1_CCR2::LUC_Immunoprecipitated
SRR2131058	prr9-1_CCR2::LUC_Input
SRR646228	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR646229	Col-0_3-day_etiolated_seedlings,_4_hour_ethylene_treatment
SRR2131057	prr9-1_PRR9::HA-PRR9_CCR2::LUC_#109_Immunoprecipitated
SRR2131056	prr9-1_PRR9::HA-PRR9_CCR2::LUC_#109_Input
SRR446498	H3.1_non-dividing_rep1
SRR6768679	35S:GNC_line_1
SRR6768678	35S:GNC_line_1
SRR1635352	Plant_shoots_sample_from_Arabidopsis_thaliana
SRR970147	At_H3K27me3_rep2
SRR3286789	WT_H4K5ac_rep2
SRR3286788	WT_H3K18ac_rep2
SRR3286783	WT_H3K27ac_rep2
SRR3286782	acc1-5_H3K27ac_rep2
SRR3286781	acc1-5_acla-1i-1_mock_H3K27ac_rep1
SRR3286780	acc1-5_acla-1i-1induced_H3K27ac_rep1
SRR3286787	WT_H3K14ac_rep2
SRR3286786	WT_H3K9ac_rep2
SRR3286785	WT_H3K27me3
SRR3286784	acc1-5_H3K27me3
SRR970146	At_H3K27me3_rep1
SRR645809	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR645808	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR1057662	Input_for_brm_clf
SRR1057660	Input_for_brm
SRR1057661	Input_for_clf
SRR645803	Col-0_3-day_etiolated_seedlings,_0.25_hour_ethylene_treatment
SRR645802	Col-0_3-day_etiolated_seedlings,_0.25_hour_ethylene_treatment
SRR645801	Col-0_3-day_etiolated_seedlings,_0.25_hour_ethylene_treatment
SRR645800	Col-0_3-day_etiolated_seedlings,_0.25_hour_ethylene_treatment
SRR645807	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR645806	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR645805	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR645804	Col-0_3-day_etiolated_seedlings,_0.5_hour_ethylene_treatment
SRR5313753	ChIPseq_AGO1_WT_Flg22control_ChIP_rep2
SRR5313752	ChIPseq_AGO1_WT_Flg22control_ChIP_rep1
SRR037795	ChIP-seq_of_histone_modifications_with_aerial_tissue_of_two-weeks_old_seedlings
SRR5313751	ChIPseq_AGO1_WT_Coldtreat_input_rep2
SRR5313750	ChIPseq_AGO1_WT_Coldtreat_input_rep1
SRR970144	At_H3K4me3_rep1
SRR5313757	ChIPseq_AGO1_WT_Flg22treat_ChIP_rep2
SRR6412322	WT_H2A.Z_ChIP_-_rep2
SRR5313755	ChIPseq_AGO1_WT_Flg22control_input_rep2
SRR2979478	COL-0_for_air_treatment
ERR274515	
ERR274514	
ERR274513	
ERR274512	
ERR274511	
ERR274510	
SRR1931610	atbmi1a,b_H3K27me3_ChIPseq
SRR3134786	ein2_ethylene_IgG_control
SRR3134785	ein2_H3K23Ac_ethylene_ChIPseq_rep2
SRR3134784	ein2_H3K23Ac_ethylene_ChIPseq_rep1
SRR3134783	ein2_H3K14Ac_ethylene_ChIPseq_rep2
SRR3134782	ein2_H3K14Ac_ethylene_ChIPseq_rep1
SRR3134781	ein2_air_IgG_control
SRR3134780	ein2_H3K23Ac_air_ChIPseq_rep2
SRR5646774	NRPD1-3xFLAG,clsy1-7,2-2_IP_2
SRR5646775	NRPD1-3xFLAG,clsy3-1,4-1_IP_2
SRR5646776	NRPD1-3xFLAG,clsy1-7,2-2,3-1,4-1_IP_2
SRR5646777	NRPD1-3xFLAG,shh1-1_IP_2
SRR5646770	NRPD1-3xFLAG,clsy4-1_IP_1
SRR5646771	WT_IP_2
SRR5646772	NRPD1-3xFLAG_input_2
SRR5646773	NRPD1-3xFLAG_IP_2
SRR851695	SEP3_ChIP-seq_8d_biological_reps_1_and_2
SRR851694	SEP3_ChIP-seq_4d_biological_reps_1_and_2
SRR851697	AP1_ChIP-seq_2d_biological_replicate_1
SRR851696	SEP3_ChIP-seq_8d_biological_reps_1_and_2
SRR2637929	H3K4me3_ChIP-Seq_sdg2
SRR6057430	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K4me3
SRR6057431	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K4me3
SRR6057432	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_H3K4me3_ChIP_Input_reference
SRR6057433	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K4me3
SRR6057434	Arabidopsis_thaliana_Col-0,_7-day_split,_cell_culture,_2_week_dark-adapted,_ChIP-seq_H3K4me3
SRR4163859	WT_INPUT_1
SRR3134769	COL_H3K23Ac_air_ChIPseq_rep2
SRR3134768	COL_H3K23Ac_air_ChIPseq_rep1
SRR3234461	H3_ChIP-seq_27c_15min_rep1
SRR3234460	H3_ChIP-seq_17c_4hr_rep2
SRR3234467	H2B_ChIP-seq_17c_15min
SRR3234466	H3_ChIP-seq_27c_4hr_rep2
SRR3234465	H3_ChIP-seq_27c_4hr_rep1
SRR3234464	H3_ChIP-seq_27c_1hr_rep2
SRR3234469	H2B_ChIP-seq_17c_4hr
SRR3234468	H2B_ChIP-seq_17c_1hr
SRR3134765	COL_H3K9Ac_air_ChIPseq_rep1
SRR3134767	COL_H3K14Ac_air_ChIPseq
SRR3134766	COL_H3K9Ac_air_ChIPseq_rep2
SRR931836	ERF115-HBH_ChIP_output
SRR931837	mock_PSB-d_ChIP_output
SRR3611031	input_GSNO_16h_rep1
SRR3611030	input_GSNO_16h_rep1
SRR3611033	input_GSNO_16h_rep2
SRR3611032	input_GSNO_16h_rep1
SRR3611035	input_GSNO_16h_rep2
SRR3611034	input_GSNO_16h_rep2
SRR3611037	input_GSH_16h_rep1
SRR3611036	input_GSNO_16h_rep2
SRR3611039	input_GSH_16h_rep1
SRR3611038	input_GSH_16h_rep1
SRR1848389	at-endosperm-H3_2_replicate_1_col_x_ler
SRR1848388	at-endosperm-H3_1_replicate_2_ler_x_col
SRR3040028	ChIPSeq-PIF5_FLAG_Rep1
SRR3040029	ChIPSeq-PIF5_FLAG_Rep2
SRR651186	Col-0
SRR651185	ATAF1-HA
SRR3133640	
SRR2001291	rosettes_wildtype_peg_H3T3ph_rep3
SRR037793	ChIP-seq_of_histone_modifications_with_aerial_tissue_of_two-weeks_old_seedlings
SRR5818179	ChIP-seq_Input_Col_rep1
SRR1509479	
SRR1509478	
SRR1509477	
SRR1509476	
SRR1509474	
SRR1509472	
SRR6080588	ChIPseq_AGO1_WT-control2swi3bandbrm_ChIP
SRR6080589	ChIPseq_AGO1_swi3b_ChIP
SRR3709945	H3K27me3_OTU5_low_Pi_rep2
SRR3709944	H3K27me3_OTU5_low_Pi_rep1
SRR3709943	H3K27me3_WT_low_Pi_rep2
